source_workbook,release_year,table,vehicle_type,year,jurisdiction,average_age_years
93090do001_2016.xls,2016,Table 3,Buses,2011,ACT,11.7
93090do001_2016.xls,2016,Table 3,Buses,2011,AUS,11.0
93090do001_2016.xls,2016,Table 3,Buses,2011,NSW,11.2
93090do001_2016.xls,2016,Table 3,Buses,2011,NT,8.8
93090do001_2016.xls,2016,Table 3,Buses,2011,QLD,10.0
93090do001_2016.xls,2016,Table 3,Buses,2011,SA,12.0
93090do001_2016.xls,2016,Table 3,Buses,2011,TAS,14.4
93090do001_2016.xls,2016,Table 3,Buses,2011,VIC,11.5
93090do001_2016.xls,2016,Table 3,Buses,2011,WA,10.7
93090do001_2017.xls,2017,Table 3,Buses,2012,ACT,11.3
93090do001_2017.xls,2017,Table 3,Buses,2012,AUS,10.9
93090do001_2017.xls,2017,Table 3,Buses,2012,NSW,11.2
93090do001_2017.xls,2017,Table 3,Buses,2012,NT,8.9
93090do001_2017.xls,2017,Table 3,Buses,2012,QLD,10.0
93090do001_2017.xls,2017,Table 3,Buses,2012,SA,11.6
93090do001_2017.xls,2017,Table 3,Buses,2012,TAS,14.5
93090do001_2017.xls,2017,Table 3,Buses,2012,VIC,11.5
93090do001_2017.xls,2017,Table 3,Buses,2012,WA,10.6
93090do001_2018.xls,2018,Table 3,Buses,2013,ACT,11.0
93090do001_2018.xls,2018,Table 3,Buses,2013,AUS,11.0
93090do001_2018.xls,2018,Table 3,Buses,2013,NSW,11.3
93090do001_2018.xls,2018,Table 3,Buses,2013,NT,9.1
93090do001_2018.xls,2018,Table 3,Buses,2013,QLD,10.0
93090do001_2018.xls,2018,Table 3,Buses,2013,SA,11.0
93090do001_2018.xls,2018,Table 3,Buses,2013,TAS,14.8
93090do001_2018.xls,2018,Table 3,Buses,2013,VIC,11.8
93090do001_2018.xls,2018,Table 3,Buses,2013,WA,10.5
93090do001_2019.xls,2019,Table 3,Buses,2014,ACT,11.2
93090do001_2019.xls,2019,Table 3,Buses,2014,AUS,11.1
93090do001_2019.xls,2019,Table 3,Buses,2014,NSW,11.4
93090do001_2019.xls,2019,Table 3,Buses,2014,NT,9.0
93090do001_2019.xls,2019,Table 3,Buses,2014,QLD,10.2
93090do001_2019.xls,2019,Table 3,Buses,2014,SA,11.0
93090do001_2019.xls,2019,Table 3,Buses,2014,TAS,14.8
93090do001_2019.xls,2019,Table 3,Buses,2014,VIC,11.8
93090do001_2019.xls,2019,Table 3,Buses,2014,WA,10.7
93090do001_2020.xls,2020,Table 3,Buses,2015,ACT,11.2
93090do001_2020.xls,2020,Table 3,Buses,2015,AUS,11.1
93090do001_2020.xls,2020,Table 3,Buses,2015,NSW,11.4
93090do001_2020.xls,2020,Table 3,Buses,2015,NT,9.0
93090do001_2020.xls,2020,Table 3,Buses,2015,QLD,10.2
93090do001_2020.xls,2020,Table 3,Buses,2015,SA,11.1
93090do001_2020.xls,2020,Table 3,Buses,2015,TAS,15.2
93090do001_2020.xls,2020,Table 3,Buses,2015,VIC,11.9
93090do001_2020.xls,2020,Table 3,Buses,2015,WA,10.9
93090do001_2021.xls,2021,Table 3,Buses,2016,ACT,11.2
93090do001_2021.xls,2021,Table 3,Buses,2016,AUS,11.3
93090do001_2021.xls,2021,Table 3,Buses,2016,NSW,11.5
93090do001_2021.xls,2021,Table 3,Buses,2016,NT,9.1
93090do001_2021.xls,2021,Table 3,Buses,2016,QLD,10.5
93090do001_2021.xls,2021,Table 3,Buses,2016,SA,11.2
93090do001_2021.xls,2021,Table 3,Buses,2016,TAS,15.1
93090do001_2021.xls,2021,Table 3,Buses,2016,VIC,11.9
93090do001_2021.xls,2021,Table 3,Buses,2016,WA,11.0
93090do001_2018.xls,2018,Table 3,Buses,2017,ACT,11.0
93090do001_2018.xls,2018,Table 3,Buses,2017,AUS,11.4
93090do001_2018.xls,2018,Table 3,Buses,2017,NSW,11.5
93090do001_2018.xls,2018,Table 3,Buses,2017,NT,9.4
93090do001_2018.xls,2018,Table 3,Buses,2017,QLD,10.8
93090do001_2018.xls,2018,Table 3,Buses,2017,SA,11.5
93090do001_2018.xls,2018,Table 3,Buses,2017,TAS,15.3
93090do001_2018.xls,2018,Table 3,Buses,2017,VIC,12.0
93090do001_2018.xls,2018,Table 3,Buses,2017,WA,11.1
93090do001_2019.xls,2019,Table 3,Buses,2018,ACT,10.6343
93090do001_2019.xls,2019,Table 3,Buses,2018,AUS,11.5191
93090do001_2019.xls,2019,Table 3,Buses,2018,NSW,11.4935
93090do001_2019.xls,2019,Table 3,Buses,2018,NT,9.5464
93090do001_2019.xls,2019,Table 3,Buses,2018,QLD,10.9069
