source_workbook,release_year,table,vehicle_type,year,jurisdiction,vehicles
93090do001_2021.xls,2021,Table 1,Campervans,2021,NT,211.0
93090do001_2021.xls,2021,Table 1,Campervans,2021,QLD,18608.0
93090do001_2021.xls,2021,Table 1,Campervans,2021,SA,5452.0
93090do001_2021.xls,2021,Table 1,Campervans,2021,TAS,5283.0
93090do001_2021.xls,2021,Table 1,Campervans,2021,VIC,15155.0
93090do001_2021.xls,2021,Table 1,Campervans,2021,WA,8405.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,ACT,1698.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,AUS,315433.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,NSW,83267.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,NT,3888.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,QLD,69999.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,SA,23241.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,TAS,8384.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,VIC,76604.0
93090DO001_31201501.xls,2015,Table 1,Heavy rigid trucks,2010,WA,48352.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,ACT,1727.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,AUS,318223.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,NSW,84401.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,NT,4116.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,QLD,69262.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,SA,23692.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,TAS,8597.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,VIC,77339.0
93090do001_2016.xls,2016,Table 1,Heavy rigid trucks,2011,WA,49089.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,ACT,1746.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,AUS,322115.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,NSW,85087.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,NT,4207.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,QLD,70124.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,SA,23566.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,TAS,8578.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,VIC,78324.0
93090do001_2017.xls,2017,Table 1,Heavy rigid trucks,2012,WA,50483.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,ACT,1712.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,AUS,325998.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,NSW,85807.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,NT,4359.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,QLD,71366.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,SA,23326.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,TAS,8720.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,VIC,78490.0
93090do001_2018.xls,2018,Table 1,Heavy rigid trucks,2013,WA,52218.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,ACT,1704.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,AUS,329464.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,NSW,86973.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,NT,4478.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,QLD,72362.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,SA,23134.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,TAS,8698.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,VIC,78376.0
93090do001_2019.xls,2019,Table 1,Heavy rigid trucks,2014,WA,53739.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,ACT,1644.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,AUS,331699.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,NSW,88977.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,NT,4600.0
93090do001_2020.xls,2020,Table 1,Heavy rigid trucks,2015,QLD,71911.0
