year,dependence,scenario_family,n_samples,weak_alignment_probability,favorable_alignment_probability,fossil_persistence_probability,emissions_pressure_probability,activity_pressure_probability,bev_fcev_share_nsw_p05,bev_fcev_share_nsw_p50,bev_fcev_share_nsw_p95,hybrid_share_nsw_p05,hybrid_share_nsw_p50,hybrid_share_nsw_p95,renewable_share_nsw_p05,renewable_share_nsw_p50,renewable_share_nsw_p95,fossil_share_nsw_p05,fossil_share_nsw_p50,fossil_share_nsw_p95,road_direct_emissions_national_p05,road_direct_emissions_national_p50,road_direct_emissions_national_p95,alignment_gap_p05,alignment_gap_p50,alignment_gap_p95
2030,gaussian,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.9267813274092835,2.2958433036919796,2.66609796494959,5.3664961400744415,5.773157242430328,6.181243947733134,55.10503793441043,57.29000226964125,59.512483134115996,87.9313228194966,88.2514965366494,88.56626003016665,90.6998043865055,92.13475934347,93.56138203892547,52.89346139748661,55.005191757094124,57.12078530356147
2026,gaussian,central,20000,0.20955,0.2898,0.718,0.4996,0.5033,1.355153377316647,1.5185552691711397,1.7210082489082872,4.022625431648194,4.206355506254015,4.563800824857495,42.3246651530764,44.53117576034657,46.25774011347903,93.21430048085419,93.44845758326892,93.6967530515485,85.4916603829237,87.1303452423188,88.55052784498788,40.83572140048531,42.99342339453288,44.702969668554076
2027,gaussian,central,20000,0.21015,0.2881,0.7111,0.50105,0.49965,1.4881073168790562,1.8137168051898305,2.2198170600623364,4.347565796455187,4.714161583391274,5.429916582873788,45.22651573876958,48.30347598847982,50.78872368960101,91.72311830439283,92.05818075242671,92.41324400452298,85.66601660173147,87.99002311298139,89.9919084520844,43.43927083440714,46.45470294291952,48.92239060322449
2028,gaussian,central,20000,0.21025,0.2863,0.7143,0.5002,0.5041,1.6210612564414653,2.1085312675121353,2.718625871216385,4.672506161262179,5.211358647541237,6.296032340890081,48.3394819650878,52.12756297181738,55.15176762648211,90.2558127789701,90.66099241222183,91.08780997486252,85.998497184764,88.84240432490395,91.29661104267842,46.25897458426292,49.96054661569542,53.00106688709277
2029,gaussian,central,20000,0.208,0.2848,0.718,0.4995,0.4982,1.7540151960038743,2.3956863950595193,3.2174346823704347,4.997446526069171,5.713527752537544,7.162148098906374,51.56172968843159,55.86359398312702,59.42787960923685,88.79470217960147,89.26441797927225,89.76464323140435,86.41282896170874,89.69072503270247,92.5305638858371,49.172650166577185,53.37856875090553,56.9853502718117
2030,gaussian,central,20000,0.20885,0.29035,0.7175,0.4993,0.5014,1.8869691355662837,2.703795931140741,3.716243493524484,5.322386890876164,6.222502874757986,8.028263856922667,54.8538143106242,59.754761574869455,63.64843728268678,87.33339231808421,87.85483821127309,88.41907029122068,86.87946816219255,90.54298597860351,93.71930374153033,52.16683229315834,56.933314600029895,60.95999290136629
2026,gaussian,optimistic,20000,0.0,1.0,0.0,0.0,0.0,1.5291560925506853,1.619977415993072,1.7113663810258066,4.22214470981258,4.385417487125379,4.545655873361263,44.597640174491325,45.39015127470706,46.17209051651777,93.19104996583971,93.25479733474566,93.31754929570788,85.57241916303288,86.31858364825058,87.05151679901377,43.00326908553142,43.77340808788202,44.52592190489303
2027,gaussian,optimistic,20000,0.0,1.0,0.0,0.0,0.0,1.8347523210954038,2.0174176611659456,2.1991840226879265,4.7459549427355565,5.0730021769340246,5.393935190586244,48.450132255589594,49.55178628782973,50.6658620806698,91.69653717434949,91.78666722272479,91.87549753010566,85.77997857612458,86.82523166381414,87.86857911817836,46.47426020537366,47.5297973875115,48.59767945590258
2028,gaussian,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.141633031240544,2.4161708674627635,2.6894775727177325,5.269548040213504,5.7549254132667595,6.239528952004279,52.282854340019824,53.627301166292185,54.99688019334039,90.21640366624484,90.32695505151642,90.43707429181401,86.1476800696104,87.41510697414412,88.70210984465845,49.93240804036146,51.21574056943919,52.51342326264319
2029,gaussian,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.4489111823403578,2.815928299022279,3.178273089377521,5.78966323948334,6.44539207161033,7.092414771734363,56.139185435346164,57.70950894854186,59.250467602156775,88.74667909797456,88.87416743241906,89.00100833474414,86.57908802021677,88.06064273503355,89.52739847169947,53.379269110328835,54.88695636232896,56.37690889228549
2030,gaussian,optimistic,20000,0.0,1.0,0.0,0.0,0.0,2.755575257499193,3.212854245742966,3.666653238009518,6.313854648556256,7.137541028633257,7.93644864482766,59.94058732910684,61.72351946368412,63.45692650119664,87.28189204722293,87.42307173303905,87.56538087428935,87.07283215451335,88.71565328464806,90.36298017018869,56.78407778085853,58.49684900096061,60.18011532369038
2026,gaussian,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.355153377316647,1.3792774652125541,1.4311289134206882,4.022625431648194,4.049974853985959,4.106628712860722,42.3246651530764,42.65762989579164,43.34696136920927,93.71199564501492,93.7940316359728,93.88388571076072,87.89173759979293,88.3370452343448,88.55052784498788,40.91814974223958,41.27248779125901,41.94961910687515
2027,gaussian,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.4881073168790562,1.537648089585345,1.6398801255903657,4.347565796455187,4.401743384089739,4.515819782385993,45.22651573876958,45.68174991034608,46.67362310081796,92.43444262081016,92.54847410733966,92.67476448514907,89.05828123731355,89.68941219073453,89.9919084520844,43.631839376671735,44.137602972658854,45.09796768895902
2028,gaussian,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.6210612564414653,1.6936431292875034,1.8483143597356846,4.672506161262179,4.753791207590888,4.924395425561501,48.3394819650878,48.904661623045214,50.10448648980074,91.12276848412081,91.26155180566752,91.41714209306383,90.15405462018003,90.94294081873915,91.29661104267842,46.56060363483184,47.200530744142114,48.3591448454939
2029,gaussian,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.7540151960038743,1.8513927624013453,2.0568853837302594,4.997446526069171,5.105416306613069,5.333467218534816,51.56172968843159,52.1917657268545,53.593948965907565,89.79063422297104,89.95275710209646,90.13467070286607,91.20738202539995,92.10001229804276,92.5305638858371,49.59519623531608,50.3266391546752,51.68290543026009
2030,gaussian,stress_tail,20000,0.0,0.0,1.0,1.0,1.0,1.8869691355662837,2.006532290693586,2.2679475743261723,5.322386890876164,5.455380719619104,5.742111187815514,54.8538143106242,55.57931973074622,57.12964082958158,88.44631622138003,88.63051690828232,88.82984925735416,92.23989376400515,93.25069194766357,93.71930374153033,52.702714708805814,53.54886955083931,55.04790090904922
2026,student_t,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.3632272744383644,1.4362787651149402,1.510577262113465,4.0318282686055245,4.11203793543261,4.194449461365754,42.43074719806598,43.42669905978909,44.403692100805664,93.48223277813258,93.62494656275337,93.76885167251758,87.20151378456015,87.84181718897815,88.4800814048037,41.013049322160064,41.98934942153568,42.9453295585901
2027,student_t,conservative,20000,0.0,0.0,1.0,1.0,1.0,1.503745580071654,1.651958889851017,1.7990696988661847,4.366257951501913,4.52781583792242,4.690167125838998,45.37995700680783,46.75282214461532,48.16882336511048,92.10098739609904,92.30882797590951,92.51160299111335,88.0890771294532,89.00075986172317,89.89123203343918,43.77130873087486,45.10461298088889,46.4732185624848
