source_workbook,sheet,topic,section,period_type,period,variable,variable_slug,measure,value,unit
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1991-92,Buses,buses,passenger_activity,16.56838757010478,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1991-92,Rail,rail,passenger_activity,9.7901881542996,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1991-92,Air,air,passenger_activity,20.72451574138221,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1991-92,Other,other,passenger_activity,22.53988514653988,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1991-92,Total,total,passenger_activity,274.12867924012255,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1992-93,Passenger cars,passenger_cars,passenger_activity,210.80957208533835,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1992-93,Buses,buses,passenger_activity,16.505676679832856,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1992-93,Rail,rail,passenger_activity,9.482338829960847,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1992-93,Air,air,passenger_activity,20.994003749135288,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1992-93,Other,other,passenger_activity,22.955916671562196,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1992-93,Total,total,passenger_activity,280.7475080158295,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1993-94,Passenger cars,passenger_cars,passenger_activity,216.14695748937763,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1993-94,Buses,buses,passenger_activity,16.306504769069406,billion passenger-km
2. PASSENGERS.xlsx,Table 2.1,national_motorised_passenger_travel_by_mode,Australia,financial_year,1993-94,Rail,rail,passenger_activity,9.762797887144451,billion passenger-km
