source_workbook,release_year,table,vehicle_type,manufacture_period,jurisdiction,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,TAS,28569.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,NT,13684.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,ACT,11737.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2014 - 2018,AUS,1030221.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,NSW,204102.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,VIC,166095.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,QLD,209089.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,SA,52212.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,WA,99890.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,TAS,24456.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,NT,10096.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,ACT,7511.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2009 - 2013,AUS,773451.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,NSW,138835.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,VIC,120713.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,QLD,162410.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,SA,39501.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,WA,76904.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,TAS,22377.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,NT,7216.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,ACT,4718.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,2004 - 2008,AUS,572674.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,NSW,133843.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,VIC,128823.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,QLD,152198.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,SA,46520.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,WA,75457.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,TAS,31775.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,NT,5456.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,ACT,4111.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light commercial vehicles,To 2003,AUS,578183.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,NSW,28706.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,VIC,22186.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,QLD,21591.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,SA,5265.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,WA,9807.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,TAS,1679.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,NT,949.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,ACT,848.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2019 - 2024,AUS,91031.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,NSW,18500.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,VIC,13657.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,QLD,10906.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,SA,2934.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,WA,4417.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,TAS,948.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,NT,395.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,ACT,522.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2014 - 2018,AUS,52279.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,NSW,9755.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 6,Light rigid trucks,2009 - 2013,VIC,7259.0
