source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2023,total,387303.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2024,petrol,9934.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2024,diesel,385440.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2024,dual_fuel,791.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2024,hybrid_electric,282.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2024,battery_fuel_cell_electric,197.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2024,other_or_not_specified,250.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy rigid trucks,2024,total,396894.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,petrol,935.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,diesel,114557.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,dual_fuel,128.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,hybrid_electric,3.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,battery_fuel_cell_electric,3.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,other_or_not_specified,24.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2022,total,115650.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2023,petrol,931.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2023,diesel,119218.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2023,dual_fuel,147.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2023,hybrid_electric,3.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2023,battery_fuel_cell_electric,3.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2023,other_or_not_specified,27.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2023,total,120329.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2024,petrol,932.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2024,diesel,123178.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2024,dual_fuel,139.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2024,hybrid_electric,3.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2024,battery_fuel_cell_electric,13.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2024,other_or_not_specified,31.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Articulated trucks,2024,total,124296.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2022,petrol,2350.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2022,diesel,33630.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2022,dual_fuel,208.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2022,hybrid_electric,14.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2022,battery_fuel_cell_electric,66.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2022,other_or_not_specified,191.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2022,total,36459.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2023,petrol,2437.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2023,diesel,34681.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2023,dual_fuel,207.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2023,hybrid_electric,14.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2023,battery_fuel_cell_electric,73.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2023,other_or_not_specified,199.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2023,total,37611.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2024,petrol,2506.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2024,diesel,35435.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2024,dual_fuel,215.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2024,hybrid_electric,18.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2024,battery_fuel_cell_electric,97.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Non-freight-carrying vehicles,2024,other_or_not_specified,224.0
