source_workbook,release_year,table,vehicle_type,year,motive_power,vehicles
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2023,other_or_not_specified,113.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2023,petrol,39828.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2023,total,96347.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2024,battery_fuel_cell_electric,4.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2024,diesel,59170.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2024,dual_fuel,808.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2024,hybrid_electric,113.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2024,other,115.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Campervans,2024,other_or_not_specified,111.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2024,petrol,39090.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2024,total,99300.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2025,battery_fuel_cell_electric,6.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2025,diesel,64521.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2025,dual_fuel,752.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2025,hybrid_electric,108.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2025,other,109.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2025,petrol,37985.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 4,Campervans,2025,total,103481.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,battery_fuel_cell_electric,115.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,diesel,43841.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,dual_fuel,108.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,hybrid_electric,13.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,other_or_not_specified,1153.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 4,Heavy buses,2022,petrol,952.0
