source_workbook,release_year,table,vehicle_type,year,jurisdiction,vehicles
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,AUS,367757.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,NSW,103845.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,NT,4774.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,QLD,76878.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,SA,25334.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,TAS,10023.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,VIC,88649.0
BITRE-Road-Vehicles-Australia-January-2023-Re-Issue.xlsx,2023,Table 1,Heavy rigid trucks,2021,WA,56554.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,ACT,1756.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,AUS,377034.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,NSW,106143.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,NT,4847.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,QLD,79502.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,SA,25834.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,TAS,10356.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,VIC,90883.0
bitre-road-vehicles-australia--january2024.xlsx,2024,Table 1,Heavy rigid trucks,2022,WA,57713.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,ACT,1763.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,AUS,384378.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,NSW,107799.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,NT,4848.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,QLD,81871.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,SA,26067.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,TAS,10528.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,VIC,91628.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2023,WA,59874.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,ACT,1794.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,AUS,394926.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,NSW,110271.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,NT,5028.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,QLD,84936.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,SA,26568.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,TAS,10818.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,VIC,93611.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2024,WA,61900.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,ACT,1772.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,AUS,403946.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,NSW,111675.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,NT,5056.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,QLD,87770.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,SA,26981.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,TAS,11000.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,VIC,95447.0
BITRE-Road-Vehicles-Australia-January-2025.xlsx,2025,Table 1,Heavy rigid trucks,2025,WA,64245.0
