source_family,jurisdiction,year,petrol_vehicles,diesel_vehicles,transition_or_other_vehicles,total_vehicles,petrol_share_percent,diesel_share_percent,transition_or_other_share_percent,definition_note
ABS,NSW,2012,4070505.0,676449.0,123042.0,4869996.0,83.5833335386723,13.890134612020216,2.526531849307474,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2013,4101432.0,756836.0,126289.0,4984557.0,82.28277858995293,15.183616116738158,2.5336052933089137,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2014,4137723.0,843083.0,121546.0,5102352.0,81.09442468884937,16.52341900362813,2.3821563075224916,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2015,4197400.0,934180.0,115619.0,5247199.0,79.99315444297042,17.803403301456644,2.2034422555729254,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2016,4235189.0,1030701.0,108529.0,5374419.0,78.8027319790288,19.177905555930792,2.019362465040407,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2017,4271785.0,1134554.0,102771.0,5509110.0,77.54038311088361,20.594143155609526,1.865473733506864,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2018,4285586.0,1235886.0,96913.0,5618385.0,76.27789836403166,21.997175344872236,1.7249262910961067,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2019,4280176.0,1318150.0,103874.0,5702200.0,75.06183578268036,23.116516432254215,1.8216477850654131,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2020,4276204.0,1393740.0,109095.0,5779039.0,73.99507080675524,24.117158579480083,1.887770613764676,"ABS other includes LPG, dual fuel and electric; not EV-specific."
ABS,NSW,2021,4297274.0,1467320.0,127612.0,5892206.0,72.93149628509255,24.90272743349435,2.1657762814131076,"ABS other includes LPG, dual fuel and electric; not EV-specific."
BITRE,AUS,2021,14421354.0,5395853.0,440532.0,20257739.0,71.18935632451381,26.63600809547403,2.174635580012162,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,AUS,2022,14474594.0,5688736.0,579238.0,20676596.0,70.0047241818721,27.512923307105293,2.8014185700586305,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,AUS,2023,14542497.0,5993410.0,686837.0,21161184.0,68.72251098993327,28.32265907238461,3.245739935912849,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,AUS,2024,14630945.0,6292700.0,873385.0,21740045.0,67.2995157093741,28.945202275340275,4.017401987898369,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,AUS,2025,14632710.0,6555770.0,1116867.0,22305347.0,65.60180390827365,29.39102449291643,5.007171598809918,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2021,4355954.0,1487903.0,110540.0,5954397.0,73.15524980951051,24.988306960385746,1.8564432301037368,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2022,4350198.0,1561362.0,148675.0,6048288.0,71.92445201022174,25.81494135199911,2.4581336073943567,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2023,4342263.0,1637342.0,186928.0,6155747.0,70.53998483043569,26.598591527559527,3.0366420192382826,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2024,4348041.0,1709896.0,248283.0,6296646.0,69.05328646393652,27.15566350720685,3.9430992309238917,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
BITRE,NSW,2025,4310835.0,1762690.0,334349.0,6407874.0,67.27402879644637,27.508187582964332,5.217783620589294,"BITRE transition/other sums dual fuel, hybrid, BEV/FCEV and residual other categories."
