period,mode,mode_slug,value,unit
1995-96,Light rail,light_rail,0.012819999999999998,billion passenger-km
1995-96,Bus,bus,1.979347850980032,billion passenger-km
1995-96,Total,total,48.221409240752635,billion passenger-km
1996-97,Passenger cars,passenger_cars,38.43477828496751,billion passenger-km
1996-97,Commercial vehicles,commercial_vehicles,2.9718709842654083,billion passenger-km
1996-97,Heavy rail,heavy_rail,4.667338590300672,billion passenger-km
1996-97,Light rail,light_rail,0.01295,billion passenger-km
1996-97,Bus,bus,2.0218119685548808,billion passenger-km
1996-97,Total,total,48.41703513571741,billion passenger-km
1997-98,Passenger cars,passenger_cars,38.98619636766139,billion passenger-km
1997-98,Commercial vehicles,commercial_vehicles,3.0892652056029406,billion passenger-km
1997-98,Heavy rail,heavy_rail,4.704935135999631,billion passenger-km
1997-98,Light rail,light_rail,0.012500000000000002,billion passenger-km
1997-98,Bus,bus,2.0505106606303145,billion passenger-km
1997-98,Total,total,49.13894073732628,billion passenger-km
1998-99,Passenger cars,passenger_cars,39.934585379723714,billion passenger-km
1998-99,Commercial vehicles,commercial_vehicles,3.194046841761574,billion passenger-km
1998-99,Heavy rail,heavy_rail,4.7806602455665175,billion passenger-km
1998-99,Light rail,light_rail,0.01503,billion passenger-km
1998-99,Bus,bus,2.0711287681688226,billion passenger-km
1998-99,Total,total,50.282027398694204,billion passenger-km
1999-00,Passenger cars,passenger_cars,40.939913320729524,billion passenger-km
1999-00,Commercial vehicles,commercial_vehicles,3.2710810172687697,billion passenger-km
1999-00,Heavy rail,heavy_rail,4.949862497999999,billion passenger-km
1999-00,Light rail,light_rail,0.01778,billion passenger-km
1999-00,Bus,bus,2.0526331713278343,billion passenger-km
1999-00,Total,total,51.51669397082378,billion passenger-km
2000-01,Passenger cars,passenger_cars,40.679656200919055,billion passenger-km
2000-01,Commercial vehicles,commercial_vehicles,3.324830726550078,billion passenger-km
2000-01,Heavy rail,heavy_rail,5.327935572959999,billion passenger-km
2000-01,Light rail,light_rail,0.02076,billion passenger-km
2000-01,Bus,bus,2.028551573544787,billion passenger-km
2000-01,Total,total,51.6831964467495,billion passenger-km
2001-02,Passenger cars,passenger_cars,41.5229435053235,billion passenger-km
2001-02,Commercial vehicles,commercial_vehicles,3.3959007329568163,billion passenger-km
2001-02,Heavy rail,heavy_rail,4.9569576,billion passenger-km
2001-02,Light rail,light_rail,0.019640000000000005,billion passenger-km
2001-02,Bus,bus,1.935640237791152,billion passenger-km
2001-02,Total,total,52.129259237518795,billion passenger-km
2002-03,Passenger cars,passenger_cars,42.18334674679807,billion passenger-km
2002-03,Commercial vehicles,commercial_vehicles,3.4828055583612603,billion passenger-km
2002-03,Heavy rail,heavy_rail,4.970138599999999,billion passenger-km
2002-03,Light rail,light_rail,0.01931,billion passenger-km
2002-03,Bus,bus,1.9199686807874723,billion passenger-km
2002-03,Total,total,52.86662559543749,billion passenger-km
2003-04,Passenger cars,passenger_cars,44.27716353437157,billion passenger-km
2003-04,Commercial vehicles,commercial_vehicles,3.5667033638586263,billion passenger-km
2003-04,Heavy rail,heavy_rail,5.0218875,billion passenger-km
2003-04,Light rail,light_rail,0.01554,billion passenger-km
2003-04,Bus,bus,1.8964050323701658,billion passenger-km
2003-04,Total,total,55.08006278460197,billion passenger-km
2004-05,Passenger cars,passenger_cars,44.5538889170298,billion passenger-km
2004-05,Commercial vehicles,commercial_vehicles,3.559521028754413,billion passenger-km
2004-05,Heavy rail,heavy_rail,5.0594754,billion passenger-km
2004-05,Light rail,light_rail,0.02,billion passenger-km
2004-05,Bus,bus,1.8909651788315178,billion passenger-km
2004-05,Total,total,55.39864717898156,billion passenger-km
2005-06,Passenger cars,passenger_cars,43.699343822531894,billion passenger-km
2005-06,Commercial vehicles,commercial_vehicles,3.5938727469383513,billion passenger-km
2005-06,Heavy rail,heavy_rail,5.1767618,billion passenger-km
2005-06,Light rail,light_rail,0.020000000000000004,billion passenger-km
2005-06,Bus,bus,1.889300067437907,billion passenger-km
2005-06,Total,total,54.708121841368126,billion passenger-km
2006-07,Passenger cars,passenger_cars,43.98785527685393,billion passenger-km
2006-07,Commercial vehicles,commercial_vehicles,3.7099782555695127,billion passenger-km
2006-07,Heavy rail,heavy_rail,5.3480756,billion passenger-km
2006-07,Light rail,light_rail,0.022084999999999997,billion passenger-km
2006-07,Bus,bus,1.9295228095182884,billion passenger-km
2006-07,Total,total,55.35005300768601,billion passenger-km
2007-08,Passenger cars,passenger_cars,44.25585909488597,billion passenger-km
2007-08,Commercial vehicles,commercial_vehicles,3.887126483108266,billion passenger-km
2007-08,Heavy rail,heavy_rail,5.6406759836,billion passenger-km
2007-08,Light rail,light_rail,0.021525000000000002,billion passenger-km
2007-08,Bus,bus,2.000669492170361,billion passenger-km
2007-08,Total,total,56.18280956433274,billion passenger-km
2008-09,Passenger cars,passenger_cars,44.2001365238293,billion passenger-km
2008-09,Commercial vehicles,commercial_vehicles,3.977993410248591,billion passenger-km
2008-09,Heavy rail,heavy_rail,5.615635200000001,billion passenger-km
2008-09,Light rail,light_rail,0.020906666666666667,billion passenger-km
2008-09,Bus,bus,1.9847493322623477,billion passenger-km
2008-09,Total,total,56.21042802183649,billion passenger-km
2009-10,Passenger cars,passenger_cars,44.621560328417566,billion passenger-km
2009-10,Commercial vehicles,commercial_vehicles,4.174181890387575,billion passenger-km
2009-10,Heavy rail,heavy_rail,5.4510736,billion passenger-km
2009-10,Light rail,light_rail,0.020300000000000002,billion passenger-km
2009-10,Bus,bus,1.9542063753843573,billion passenger-km
2009-10,Total,total,56.66097734559919,billion passenger-km
2010-11,Passenger cars,passenger_cars,45.41225717110804,billion passenger-km
2010-11,Commercial vehicles,commercial_vehicles,4.290134051840986,billion passenger-km
2010-11,Heavy rail,heavy_rail,5.462578799999999,billion passenger-km
2010-11,Light rail,light_rail,0.019389000000000003,billion passenger-km
2010-11,Bus,bus,2.0179597672971314,billion passenger-km
2010-11,Total,total,57.64024478913224,billion passenger-km
2011-12,Passenger cars,passenger_cars,45.660385449644075,billion passenger-km
2011-12,Commercial vehicles,commercial_vehicles,4.3963073022675365,billion passenger-km
2011-12,Heavy rail,heavy_rail,5.664948170515883,billion passenger-km
2011-12,Light rail,light_rail,0.02006,billion passenger-km
2011-12,Bus,bus,2.052310851947209,billion passenger-km
2011-12,Total,total,58.231393548712816,billion passenger-km
2012-13,Passenger cars,passenger_cars,46.65786410749348,billion passenger-km
2012-13,Commercial vehicles,commercial_vehicles,4.518564909229994,billion passenger-km
2012-13,Heavy rail,heavy_rail,5.6827710194363314,billion passenger-km
2012-13,Light rail,light_rail,0.01921,billion passenger-km
2012-13,Bus,bus,2.059013927570529,billion passenger-km
2012-13,Total,total,59.38885918953695,billion passenger-km
2013-14,Passenger cars,passenger_cars,47.27970152829015,billion passenger-km
2013-14,Commercial vehicles,commercial_vehicles,4.598438506680888,billion passenger-km
2013-14,Heavy rail,heavy_rail,5.812558995453747,billion passenger-km
2013-14,Light rail,light_rail,0.014039999999999999,billion passenger-km
2013-14,Bus,bus,2.072590586079486,billion passenger-km
2013-14,Total,total,60.244974568637005,billion passenger-km
2014-15,Passenger cars,passenger_cars,47.86173840923422,billion passenger-km
2014-15,Commercial vehicles,commercial_vehicles,4.677277647076521,billion passenger-km
2014-15,Heavy rail,heavy_rail,6.055152670708318,billion passenger-km
2014-15,Light rail,light_rail,0.024437749999999998,billion passenger-km
2014-15,Bus,bus,2.0707056733469447,billion passenger-km
2014-15,Total,total,61.149326025312135,billion passenger-km
2015-16,Passenger cars,passenger_cars,48.25806334781428,billion passenger-km
2015-16,Commercial vehicles,commercial_vehicles,4.772569233257039,billion passenger-km
2015-16,Heavy rail,heavy_rail,6.335012627999999,billion passenger-km
2015-16,Light rail,light_rail,0.038912,billion passenger-km
2015-16,Bus,bus,2.0917839557941402,billion passenger-km
2015-16,Total,total,61.975277579403276,billion passenger-km
2016-17,Passenger cars,passenger_cars,48.63728777856685,billion passenger-km
2016-17,Commercial vehicles,commercial_vehicles,4.988558643111218,billion passenger-km
2016-17,Heavy rail,heavy_rail,6.769457799999999,billion passenger-km
2016-17,Light rail,light_rail,0.040192,billion passenger-km
2016-17,Bus,bus,2.1590794651841163,billion passenger-km
2016-17,Total,total,63.086802632029666,billion passenger-km
2017-18,Passenger cars,passenger_cars,48.84997969892409,billion passenger-km
2017-18,Commercial vehicles,commercial_vehicles,5.198540167218116,billion passenger-km
2017-18,Heavy rail,heavy_rail,7.176538504519999,billion passenger-km
2017-18,Light rail,light_rail,0.041039400000000004,billion passenger-km
2017-18,Bus,bus,2.338813751599444,billion passenger-km
2017-18,Total,total,64.10156541324018,billion passenger-km
2018-19,Passenger cars,passenger_cars,48.55640459240903,billion passenger-km
2018-19,Commercial vehicles,commercial_vehicles,5.244537610714906,billion passenger-km
2018-19,Heavy rail,heavy_rail,7.536806860463057,billion passenger-km
2018-19,Light rail,light_rail,0.0428,billion passenger-km
2018-19,Bus,bus,2.5670639488777396,billion passenger-km
2018-19,Total,total,64.44305071914013,billion passenger-km
2019-20,Passenger cars,passenger_cars,43.92869072935511,billion passenger-km
2019-20,Commercial vehicles,commercial_vehicles,5.122694438274154,billion passenger-km
2019-20,Heavy rail,heavy_rail,6.1311336534,billion passenger-km
2019-20,Light rail,light_rail,0.053424,billion passenger-km
2019-20,Bus,bus,2.0428663125,billion passenger-km
2019-20,Total,total,57.68716061133137,billion passenger-km
2020-21,Passenger cars,passenger_cars,45.219184577625384,billion passenger-km
2020-21,Commercial vehicles,commercial_vehicles,5.211734727774318,billion passenger-km
2020-21,Heavy rail,heavy_rail,4.079417592249999,billion passenger-km
2020-21,Light rail,light_rail,0.074932,billion passenger-km
2020-21,Bus,bus,1.418304177068145,billion passenger-km
2020-21,Total,total,56.36530702469307,billion passenger-km
2021-22,Passenger cars,passenger_cars,39.94762982528588,billion passenger-km
2021-22,Commercial vehicles,commercial_vehicles,5.245230482370656,billion passenger-km
2021-22,Heavy rail,heavy_rail,2.9616822266025107,billion passenger-km
2021-22,Light rail,light_rail,0.0653375667557225,billion passenger-km
2021-22,Bus,bus,1.0728371631007478,billion passenger-km
2021-22,Total,total,49.65862170926528,billion passenger-km
2022-23,Passenger cars,passenger_cars,46.03174581919703,billion passenger-km
2022-23,Commercial vehicles,commercial_vehicles,5.384982124517103,billion passenger-km
2022-23,Heavy rail,heavy_rail,5.17986437559646,billion passenger-km
2022-23,Light rail,light_rail,0.14351220622225036,billion passenger-km
2022-23,Bus,bus,1.8137273827284977,billion passenger-km
2022-23,Total,total,59.00056684292202,billion passenger-km
2023-24,Passenger cars,passenger_cars,47.299484981082486,billion passenger-km
2023-24,Commercial vehicles,commercial_vehicles,5.506302362862369,billion passenger-km
2023-24,Heavy rail,heavy_rail,6.019031713114341,billion passenger-km
2023-24,Light rail,light_rail,0.17966887204858129,billion passenger-km
2023-24,Bus,bus,2.127671296221615,billion passenger-km
2023-24,Total,total,61.6181117235829,billion passenger-km
2024-25,Passenger cars,passenger_cars,48.01316057553487,billion passenger-km
2024-25,Commercial vehicles,commercial_vehicles,5.571113193098279,billion passenger-km
2024-25,Heavy rail,heavy_rail,6.2033052450603865,billion passenger-km
2024-25,Light rail,light_rail,0.18776502744611767,billion passenger-km
2024-25,Bus,bus,2.1709004457038614,billion passenger-km
2024-25,Total,total,62.63260744750077,billion passenger-km
