year,dependence,scenario_family,lever,weak_alignment_probability,low_uptake_shortfall,renewable_shortfall,fossil_excess,emissions_excess,activity_excess
2027,gaussian,central,delay_case,0.2251,0.10170210547609683,0.1929912766019445,0.21766214562740596,0.15100766007226776,0.17547458932527818
2028,gaussian,central,none,0.20565,0.08441998527819017,0.16512666742799573,0.16745784863803587,0.1373134318188474,0.17218670510232678
2028,gaussian,central,uptake_push,0.3469,0.012132165184361447,0.16512666742799573,0.11236464700921656,0.1373134318188474,0.17218670510232678
2028,gaussian,central,renewable_push,0.12605,0.08441998527819017,0.04391716412650366,0.16745784863803587,0.09107860141205384,0.17218670510232678
2028,gaussian,central,fossil_reduction,0.20565,0.08441998527819017,0.16512666742799573,0.06918221666778897,0.08024094374999906,0.17218670510232678
2028,gaussian,central,balanced_package,0.21885,0.026843429632314668,0.07488391374339692,0.10213297807903705,0.08024094374999906,0.17218670510232678
2028,gaussian,central,delay_case,0.22035,0.1021465259001562,0.19435759651964163,0.21977023496385167,0.1496307867277027,0.17218670510232678
2029,gaussian,central,none,0.212,0.08427981885350122,0.16819463239437715,0.16690639412434474,0.1403252336536119,0.17198763115465185
2029,gaussian,central,uptake_push,0.3552,0.012071289288740277,0.16819463239437715,0.11214014203761885,0.1403252336536119,0.17198763115465185
2029,gaussian,central,renewable_push,0.1295,0.08427981885350122,0.04467320420214416,0.16690639412434474,0.09325032964608304,0.17198763115465185
2029,gaussian,central,fossil_reduction,0.212,0.08427981885350122,0.16819463239437715,0.06912331782160927,0.08222362347074438,0.17198763115465185
2029,gaussian,central,balanced_package,0.2281,0.026679078106926192,0.07634186959684498,0.10195477998605919,0.08222362347074438,0.17198763115465185
2029,gaussian,central,delay_case,0.22855,0.10220203043148499,0.19770249998784845,0.21911034448495784,0.15273942020695516,0.17198763115465185
2030,gaussian,central,none,0.2045,0.08512681315928908,0.16404410261201247,0.1651212538106479,0.13721776352547355,0.17338336796259884
2030,gaussian,central,uptake_push,0.3447,0.01195202887059212,0.16404410261201247,0.11068431791956164,0.13721776352547355,0.17338336796259884
2030,gaussian,central,renewable_push,0.12535,0.08512681315928908,0.04346411268001722,0.1651212538106479,0.09094998815196623,0.17338336796259884
2030,gaussian,central,fossil_reduction,0.2045,0.08512681315928908,0.16404410261201247,0.06811470400293669,0.08013045974930817,0.17338336796259884
2030,gaussian,central,balanced_package,0.21955,0.026808629038210723,0.0743943017430586,0.1006146736282284,0.08013045974930817,0.17338336796259884
2030,gaussian,central,delay_case,0.2222,0.10312219441490579,0.19325065085155324,0.2172287535303696,0.14959307312868142,0.17338336796259884
2026,gaussian,conservative,none,0.0,0.1896331189603301,0.2794236951384145,0.36153983802105333,0.23305940752131227,0.2873779720667616
2026,gaussian,conservative,uptake_push,0.668,0.018486272013456956,0.2794236951384145,0.2643569538759232,0.23305940752131227,0.2873779720667616
2026,gaussian,conservative,renewable_push,0.0,0.1896331189603301,0.05950156556183089,0.36153983802105333,0.14571879824192238,0.2873779720667616
2026,gaussian,conservative,fossil_reduction,0.0,0.1896331189603301,0.2794236951384145,0.18137868199523435,0.12574550078414998,0.2873779720667616
