year,dependence,scenario_family,weight_scheme,threshold_mode,cvar_level,mean_loss,p_tail_loss,cvar_loss
2029,independent,conservative,uptake_heavy,baseline,0.95,0.22650591713314772,0.30895726879638263,0.32739399022285903
2029,independent,conservative,grid_emissions_heavy,baseline,0.9,0.23285202472677985,0.314911901674095,0.33963744141612223
2029,independent,conservative,grid_emissions_heavy,baseline,0.95,0.23285202472677985,0.3351728683370732,0.3549969762478554
2029,independent,conservative,fossil_heavy,baseline,0.9,0.25876268902057636,0.34359673012764813,0.3708494563674476
2029,independent,conservative,fossil_heavy,baseline,0.95,0.25876268902057636,0.3654859855076476,0.3883389563579949
2029,independent,conservative,baseline,strict,0.9,0.32658577236253217,0.39458380893441314,0.4174858224228028
2029,independent,conservative,baseline,strict,0.95,0.32658577236253217,0.41270155794732516,0.4318795311219336
2029,independent,conservative,equal,strict,0.9,0.3212524378642748,0.38973018612958993,0.41288321053028026
2029,independent,conservative,equal,strict,0.95,0.3212524378642748,0.40808299464642633,0.4274039104883419
2029,independent,conservative,uptake_heavy,strict,0.9,0.33849123369802575,0.403517949527486,0.4253196755654301
2029,independent,conservative,uptake_heavy,strict,0.95,0.33849123369802575,0.4209425853612606,0.43937930678773707
2029,independent,conservative,grid_emissions_heavy,strict,0.9,0.3415501471984303,0.42361002414574545,0.4483355638877726
2029,independent,conservative,grid_emissions_heavy,strict,0.95,0.3415501471984303,0.44387099080872355,0.4636950987195058
2029,independent,conservative,fossil_heavy,strict,0.9,0.3547258085826898,0.4395598496897617,0.46681257592956116
2029,independent,conservative,fossil_heavy,strict,0.95,0.3547258085826898,0.4614491050697611,0.48430207592010843
2030,independent,conservative,baseline,lenient,0.9,0.15214813602388969,0.26534808075593264,0.3036997613889799
2030,independent,conservative,baseline,lenient,0.95,0.15214813602388969,0.29931207686921474,0.32544567475549147
2030,independent,conservative,equal,lenient,0.9,0.15479586854482882,0.28509864775300214,0.32292874956913975
2030,independent,conservative,equal,lenient,0.95,0.15479586854482882,0.31831441239624325,0.34513721345663106
2030,independent,conservative,uptake_heavy,lenient,0.9,0.14143186654209391,0.21707987896821263,0.2437954420019351
2030,independent,conservative,uptake_heavy,lenient,0.95,0.14143186654209391,0.23896884404610508,0.2605736061262104
2030,independent,conservative,grid_emissions_heavy,lenient,0.9,0.14741218676327383,0.24142880331948643,0.27614536882309976
2030,independent,conservative,grid_emissions_heavy,lenient,0.95,0.14741218676327383,0.2697002081077305,0.2978919891478843
2030,independent,conservative,fossil_heavy,lenient,0.9,0.1582261094286028,0.2508102923150382,0.28761496059609853
2030,independent,conservative,fossil_heavy,lenient,0.95,0.1582261094286028,0.2803714447055095,0.31111241476603085
2030,independent,conservative,baseline,baseline,0.9,0.2275856936166496,0.2959545261294066,0.3186863651239345
