source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,generation_gwh,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1992-93,natural gas,non_renewable,12295.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1993-94,natural gas,non_renewable,12199.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1994-95,natural gas,non_renewable,14913.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1995-96,natural gas,non_renewable,12445.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1996-97,natural gas,non_renewable,11426.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1997-98,natural gas,non_renewable,12934.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1998-99,natural gas,non_renewable,16001.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,1999-00,natural gas,non_renewable,16245.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2000-01,natural gas,non_renewable,17271.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2001-02,natural gas,non_renewable,31730.0,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2002-03,natural gas,non_renewable,29375.3,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2003-04,natural gas,non_renewable,30919.4,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2004-05,natural gas,non_renewable,23802.9,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2005-06,natural gas,non_renewable,22725.9,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2006-07,natural gas,non_renewable,31849.9,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2007-08,natural gas,non_renewable,34955.8,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2008-09,natural gas,non_renewable,37660.4,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,AUS FY,AUS,financial_year,2009-10,natural gas,non_renewable,44587.8,false
