source_workbook,sheet,geography,period_type,period,fuel_type,fuel_group,value,unit,is_estimate
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,total,total,57015.524,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,total,total,74148.14,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,total,total,45021.46,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,total,total,15046.383,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,total,total,9193.734,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NT,financial_year,2024-25,total,total,5302.816,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,total,total,282398.053,GWh,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NSW,financial_year,2024-25,per cent renewable generation,metric_percent,39.117,percent,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,VIC,financial_year,2024-25,per cent renewable generation,metric_percent,43.012,percent,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,QLD,financial_year,2024-25,per cent renewable generation,metric_percent,29.728,percent,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,WA,financial_year,2024-25,per cent renewable generation,metric_percent,19.724,percent,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,SA,financial_year,2024-25,per cent renewable generation,metric_percent,74.742,percent,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,TAS,financial_year,2024-25,per cent renewable generation,metric_percent,95.901,percent,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,NT,financial_year,2024-25,per cent renewable generation,metric_percent,7.989,percent,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2024-25,AUS,financial_year,2024-25,per cent renewable generation,metric_percent,37.509,percent,false
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,black coal,non_renewable,42557.421,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,black coal,non_renewable,42738.05,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,black coal,non_renewable,7437.248,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,black coal,non_renewable,92732.719,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,brown coal,non_renewable,29623.274,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,brown coal,non_renewable,29623.274,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NSW,calendar_year,2025,natural gas,non_renewable,2540.717,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,VIC,calendar_year,2025,natural gas,non_renewable,1746.818,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,QLD,calendar_year,2025,natural gas,non_renewable,8080.456,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,WA,calendar_year,2025,natural gas,non_renewable,26185.694,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,SA,calendar_year,2025,natural gas,non_renewable,3314.967,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,TAS,calendar_year,2025,natural gas,non_renewable,215.961,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,NT,calendar_year,2025,natural gas,non_renewable,4252.034,GWh,true
table-o-electricity-generation-by-fuel type-2024-25-and-2025.xlsx,State summary 2025,AUS,calendar_year,2025,natural gas,non_renewable,46336.647,GWh,true
