year,dependence,scenario_family,low_uptake_shortfall,renewable_shortfall,fossil_excess,emissions_excess,activity_excess
2026,student_t,conservative,0.19090237427597134,0.27881462996777634,0.3628357053117814,0.23162864828755456,0.2872333456244957
2027,student_t,conservative,0.1898276171439662,0.28114563760206757,0.36197697378027616,0.232740657480132,0.28634475741016263
2028,student_t,conservative,0.18966658067744738,0.27858735813975916,0.3612882266292135,0.23122495760652131,0.2888993991279095
2029,student_t,conservative,0.1895771870506136,0.27848846064388827,0.3614935954767874,0.23347569793264947,0.28461473969775414
2030,student_t,conservative,0.18971709739730805,0.27758708582935443,0.3619756030721323,0.23016203802809843,0.2871083396204178
2026,student_t,central,0.08226167690520479,0.16383140141212443,0.1663114519910463,0.13830456892208057,0.17484644756462492
2027,student_t,central,0.08244922115976926,0.16777102637436506,0.16448984041104117,0.14056932544054176,0.17340212708276653
2028,student_t,central,0.08489635709789946,0.16818023838849805,0.1659578834797519,0.13986685554242273,0.1733250448337029
2029,student_t,central,0.08406371264902564,0.16685492915985228,0.1662879370311827,0.13926950129064725,0.17490126028706568
2030,student_t,central,0.08270505613972766,0.16708594782218394,0.16421672637814194,0.13739957895870192,0.17282140805507074
2026,student_t,optimistic,0.0,0.0,0.0,0.0,0.0
2027,student_t,optimistic,0.0,0.0,0.0,0.0,0.0
2028,student_t,optimistic,0.0,0.0,0.0,0.0,0.0
2029,student_t,optimistic,0.0,0.0,0.0,0.0,0.0
2030,student_t,optimistic,0.0,0.0,0.0,0.0,0.0
2026,student_t,stress_tail,0.312102605000677,0.4571004890144244,0.5942874062638576,0.38062874600580415,0.4717815386625938
2027,student_t,stress_tail,0.31246988222726285,0.4579550446639423,0.5945024058675995,0.38051845589148847,0.47369548569558895
2028,student_t,stress_tail,0.3120636125651026,0.4580169943887669,0.5936749045274129,0.3811243068811936,0.4720231576442502
2029,student_t,stress_tail,0.31186451775121843,0.45887694856416217,0.593995721964386,0.3813624553204618,0.4729583530723017
2030,student_t,stress_tail,0.3120105240262413,0.45796344297886316,0.5948847810046629,0.38026550816279686,0.47368234915918356
