year,dependence,scenario_family,n_samples,mean_loss,p50_loss,p90_loss,cvar90_loss,weak_alignment_probability,fossil_persistence_probability,emissions_pressure_probability,activity_pressure_probability
2026,gaussian,conservative,20000,0.2268926033448468,0.2268077583721519,0.30569378350904736,0.33221904028726357,0.0,1.0,1.0,1.0
2027,gaussian,conservative,20000,0.22765714854330626,0.22744071639583613,0.3067535919678356,0.332878940469315,0.0,1.0,1.0,1.0
2028,gaussian,conservative,20000,0.2271589545097645,0.22659355235130893,0.3067960517289614,0.3329533339782733,0.0,1.0,1.0,1.0
2029,gaussian,conservative,20000,0.22679220106691,0.22633146860286324,0.30634687830762725,0.3333386328786566,0.0,1.0,1.0,1.0
2030,gaussian,conservative,20000,0.22730751768370533,0.22754966149684647,0.30800306745584766,0.33392174331091756,0.0,1.0,1.0,1.0
2026,gaussian,central,20000,0.15180530388221342,0.14573764566977032,0.2884526827438351,0.33058269357909276,0.20955,0.718,0.4996,0.5033
2027,gaussian,central,20000,0.15219512748039277,0.14608857381226226,0.28760429540518817,0.3304147526874437,0.21015,0.7111,0.50105,0.49965
2028,gaussian,central,20000,0.15177939297932808,0.14427683284623374,0.2879409913919354,0.3295054313395034,0.21025,0.7143,0.5002,0.5041
2029,gaussian,central,20000,0.152931724607708,0.14800912114236578,0.28892980124345274,0.33110805641587054,0.208,0.718,0.4995,0.4982
2030,gaussian,central,20000,0.15183118600264192,0.1442314620750099,0.28803586985125607,0.3296280864873781,0.20885,0.7175,0.4993,0.5014
2026,gaussian,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,gaussian,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,gaussian,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,gaussian,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,gaussian,optimistic,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,gaussian,stress_tail,20000,0.37312841622921417,0.37445532781456714,0.4190348487494788,0.4309003253022398,0.0,1.0,1.0,1.0
2027,gaussian,stress_tail,20000,0.3732537226485757,0.37454296933219566,0.41744570341035686,0.42968414765621826,0.0,1.0,1.0,1.0
2028,gaussian,stress_tail,20000,0.3735660565262033,0.3749574305964639,0.41853599988904705,0.4307719435561848,0.0,1.0,1.0,1.0
2029,gaussian,stress_tail,20000,0.37340415049750825,0.3747058384934574,0.41804409109966023,0.4305211208635358,0.0,1.0,1.0,1.0
2030,gaussian,stress_tail,20000,0.3735834712960845,0.37515422965603107,0.4183289216417418,0.4305975228955017,0.0,1.0,1.0,1.0
2026,student_t,conservative,20000,0.2276188746326775,0.2273984919266252,0.30646342433929513,0.33447344882264735,0.0,1.0,1.0,1.0
2027,student_t,conservative,20000,0.2277153710622013,0.22782539608878694,0.3051435415104013,0.3339398602241257,0.0,1.0,1.0,1.0
2028,student_t,conservative,20000,0.22711399661639126,0.22766142029000694,0.3036495561776742,0.3331225789647872,0.0,1.0,1.0,1.0
2029,student_t,conservative,20000,0.22714403915836875,0.22707503839072038,0.30421474638202084,0.33308756714824683,0.0,1.0,1.0,1.0
2030,student_t,conservative,20000,0.22671984453595267,0.22649817355174592,0.30450567473218676,0.3332032948145437,0.0,1.0,1.0,1.0
2026,student_t,central,20000,0.1511223945319475,0.14275132507865465,0.2892386924450514,0.33646959366291845,0.21125,0.7215,0.49845,0.50485
2027,student_t,central,20000,0.15173254406670186,0.14429372133864046,0.29132030696263755,0.33709728330020894,0.2115,0.72,0.50755,0.501
2028,student_t,central,20000,0.15214375946565983,0.14488774636477103,0.29142459296306844,0.33745630657933245,0.2096,0.72175,0.50215,0.503
2029,student_t,central,20000,0.1519125955968555,0.14351386332099603,0.2911976968174621,0.3379748720332567,0.2098,0.721,0.5037,0.50305
